FPrate,Sensivity[Mean],Sensivity[Lower bound],Sensivity[Upper bound]
0.269914491,0.090897121,0.066820279,0.115606934
0.270702070,0.090905577,0.066820279,0.115606934
0.271489649,0.090920441,0.066820279,0.115606934
0.272277228,0.090920441,0.066820279,0.115606934
0.273064806,0.090932235,0.066820279,0.115606934
0.273852385,0.090949722,0.066820279,0.115606934
0.274639964,0.090949722,0.066820279,0.115606934
0.275427543,0.090960614,0.066820279,0.115606934
0.276215122,0.090976521,0.066820279,0.115606934
0.277002700,0.090976521,0.066820279,0.115606934
0.277790279,0.090983264,0.066820279,0.115606934
0.278577858,0.091000102,0.066820279,0.115606934
0.279365437,0.091016009,0.066820279,0.115606934
0.280153015,0.091016009,0.066820279,0.115606934
0.280940594,0.091026850,0.066820279,0.115606934
0.281728173,0.091035277,0.066820279,0.115606934
0.282515752,0.091035277,0.066820279,0.115606934
0.283303330,0.091048062,0.066820279,0.115606934
0.284090909,0.091063917,0.066820279,0.115606934
0.284878488,0.091063917,0.066820279,0.115606934
0.285666067,0.091074929,0.066820279,0.115606934
0.286453645,0.091088228,0.066820279,0.115606934
0.287241224,0.091100037,0.066820279,0.115606934
0.288028803,0.091100037,0.066820279,0.115606934
0.288816382,0.091112539,0.066820279,0.115606934
0.289603960,0.091134951,0.066820279,0.115652174
0.290391539,0.091134951,0.066820279,0.115652174
0.291179118,0.091140956,0.066820279,0.115652174
0.291966697,0.091165088,0.066820279,0.115652174
0.292754275,0.091165088,0.066820279,0.115652174
0.293541854,0.091178618,0.066820279,0.115652174
0.294329433,0.091196194,0.066820279,0.115652174
0.295117012,0.091208838,0.066820279,0.115652174
0.295904590,0.091208838,0.066820279,0.115652174
0.296692169,0.091228411,0.066820279,0.115652174
0.297479748,0.091237620,0.066820279,0.115652174
0.298267327,0.091237620,0.066820279,0.115652174
0.299054905,0.091253817,0.066820279,0.115652174
0.299842484,0.091274783,0.066820279,0.115652174
0.300630063,0.091274783,0.066820279,0.115652174
0.301417642,0.091295391,0.066820279,0.115652174
0.302205221,0.091302142,0.066820279,0.115652174
0.302992799,0.091315567,0.066820279,0.115652174
0.303780378,0.091315567,0.066820279,0.115652174
0.304567957,0.091329284,0.066820279,0.115652174
0.305355536,0.091332562,0.066820279,0.115652174
0.306143114,0.091332562,0.066820279,0.115652174
0.306930693,0.091353796,0.066820279,0.115652174
0.307718272,0.091368794,0.066820279,0.115652174
0.308505851,0.091368794,0.066820279,0.115652174
0.309293429,0.091386721,0.066820279,0.115652174
0.310081008,0.091410510,0.066820279,0.115652174
0.310868587,0.091421328,0.066820279,0.115652174
0.311656166,0.091421328,0.066820279,0.115652174
0.312443744,0.091440916,0.066820279,0.115652174
0.313231323,0.091467239,0.066820279,0.115652174
0.314018902,0.091467239,0.066820279,0.115652174
0.314806481,0.091485977,0.066820279,0.115652174
0.315594059,0.091510408,0.066820279,0.115652174
0.316381638,0.091510408,0.066820279,0.115652174
0.317169217,0.091523893,0.066820279,0.115652174
0.317956796,0.091540881,0.067158066,0.115652174
0.318744374,0.091551267,0.067158066,0.115929201
0.319531953,0.091551267,0.067158066,0.115929201
0.320319532,0.091567241,0.067158066,0.115929201
0.321107111,0.091582492,0.067158066,0.115929201
0.321894689,0.091582492,0.067158066,0.115929201
0.322682268,0.091601156,0.067158066,0.115929201
0.323469847,0.091617972,0.067158066,0.115929201
0.324257426,0.091617972,0.067158066,0.115929201
0.325045005,0.091637462,0.067158066,0.115929201
